Company,Job Title,Filename
Barclays,Full Stack Developer,JD 23.txt
Inputzero Technologies,Full Stack Developer,JD 32.txt
Nexpro247,Python Developer,JD 4.txt
Vertoz,Full Stack Developer,JD 49.txt
Oaza Energy,Full Stack Developer,JD 55.txt
Primohunt Corporate,Full Stack Developer - JAVA / Angular,JD 6.txt
eClerx,Associate Process Manager - Web Developer,JD 81.txt
Nidish,Full Stack Developer (Flutter + Node.js),JD 83.txt
Confidential,Java Full Stack Developer,JD 84.txt
Supply Wisdom,Full Stack Developer,JD 92.txt
